FileName	chr	length	#A	#C	#G	#T	#2	#3	#4	#CpG	#tv	#ts	#CpG-ts
./Assembly/racon/1rd/set191_1_racon_1rd.fasta	Cc04_g05340	629	217	102	127	183	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_1_racon_1rd_f.fasta	set191_1_racon_1rd	629	217	102	127	183	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_2_racon_1rd.fasta	Cc04_g05340	644	218	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_2_racon_1rd_f.fasta	set191_2_racon_1rd	644	218	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_3_racon_1rd.fasta	Cc04_g05340	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_3_racon_1rd_f.fasta	set191_3_racon_1rd	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_4_racon_1rd.fasta	Cc04_g05340	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/racon/1rd/set191_4_racon_1rd_f.fasta	set191_4_racon_1rd	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/racon/1rd/set191_5_racon_1rd.fasta	Cc04_g05340	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_5_racon_1rd_f.fasta	set191_5_racon_1rd	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_6_racon_1rd.fasta	Cc04_g05340	641	218	98	129	196	0	0	0	8	0	0	0
./Assembly/racon/1rd/set191_6_racon_1rd_f.fasta	set191_6_racon_1rd	641	218	98	129	196	0	0	0	8	0	0	0
