FileName	chr	length	#A	#C	#G	#T	#2	#3	#4	#CpG	#tv	#ts	#CpG-ts
./Assembly/medaka/1rd/set191_1_medaka_1rd.fasta	Cc04_g05340	629	217	102	133	177	0	0	0	12	0	0	0
./Assembly/medaka/1rd/set191_1_medaka_1rd_f.fasta	set191_1_medaka_1rd	629	217	102	133	177	0	0	0	12	0	0	0
./Assembly/medaka/1rd/set191_2_medaka_1rd.fasta	Cc04_g05340	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_2_medaka_1rd_f.fasta	set191_2_medaka_1rd	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_3_medaka_1rd.fasta	Cc04_g05340	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_3_medaka_1rd_f.fasta	set191_3_medaka_1rd	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_4_medaka_1rd.fasta	Cc04_g05340	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/medaka/1rd/set191_4_medaka_1rd_f.fasta	set191_4_medaka_1rd	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/medaka/1rd/set191_5_medaka_1rd.fasta	Cc04_g05340	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_5_medaka_1rd_f.fasta	set191_5_medaka_1rd	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_6_medaka_1rd.fasta	Cc04_g05340	641	218	98	129	196	0	0	0	8	0	0	0
./Assembly/medaka/1rd/set191_6_medaka_1rd_f.fasta	set191_6_medaka_1rd	641	218	98	129	196	0	0	0	8	0	0	0
