FileName	chr	length	#A	#C	#G	#T	#2	#3	#4	#CpG	#tv	#ts	#CpG-ts
./Assembly/racon/2rd/set191_1_racon_2rd.fasta	Cc04_g05340	631	217	99	130	185	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_1_racon_2rd_f.fasta	set191_1_racon_2rd	631	217	99	130	185	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_2_racon_2rd.fasta	Cc04_g05340	646	219	100	131	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_2_racon_2rd_f.fasta	set191_2_racon_2rd	646	219	100	131	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_3_racon_2rd.fasta	Cc04_g05340	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_3_racon_2rd_f.fasta	set191_3_racon_2rd	643	217	99	131	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_4_racon_2rd.fasta	Cc04_g05340	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/racon/2rd/set191_4_racon_2rd_f.fasta	set191_4_racon_2rd	643	204	94	127	190	0	0	28	8	0	0	0
./Assembly/racon/2rd/set191_5_racon_2rd.fasta	Cc04_g05340	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_5_racon_2rd_f.fasta	set191_5_racon_2rd	643	216	99	132	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_6_racon_2rd.fasta	Cc04_g05340	641	218	98	129	196	0	0	0	8	0	0	0
./Assembly/racon/2rd/set191_6_racon_2rd_f.fasta	set191_6_racon_2rd	641	218	98	129	196	0	0	0	8	0	0	0
